NXP/PN5321A3HN/C106;55	U1	21.399	-2.223	180
AVX/CX3225GB27120P0HPQCC	Q1	20.955	4.763	180
MURATA/GRM1555C1H150JA01D	C2	17.939	4.128	270
MURATA/GRM1555C1H150JA01D	C1	23.654	5.08	90
KS/RK73Z1ETTP	R1	15.875	1.588	0
KS/RK73Z1ETTP	R2	15.875	2.857	0
KS/RK73Z1ETTP	R23	1.19	-7.73	90
MURATA/GRM188R61A106KE69D	C17	26.988	6.033	90
MURATA/GRM188R61A106KE69D	C39	28.575	-8.255	90
MURATA/GRM188R61A106KE69D	C4	20.955	-7.938	270
MURATA/GRM188R61A106KE69D	C5	23.336	-10.478	180
MURATA/GRM155R61A104KA01D	C49	38.1	-13.811	180
MURATA/GRM155R61A104KA01D	C16	14.796	-0.826	0
MURATA/GRM155R61A104KA01D	C7	30.385	-15.462	90
MURATA/GRM155R61A104KA01D	C6	24.13	-7.938	90
MURATA/GRM155R61A104KA01D	C50	39.053	11.43	270
MURATA/GRM155R61A104KA01D	C48	38.735	-24.765	180
MURATA/GRM155R61A104KA01D	C3	25.4	-7.938	90
MURATA/GRM155R61A104KA01D	C35	28.258	0	180
MURATA/GRM155R61A104KA01D	C36	27.623	1.588	180
MURATA/GRM155R61A104KA01D	C38	26.67	-8.255	90
MURATA/GRM155R61A104KA01D	C8	40.799	-16.034	0
YAGEO2/RC0402FR-071KL	R7	26.67	3.175	90
MURATA/GRM155R71H152JA01D	C37	28.258	2.857	0
YAGEO/RC0402JR-071K6L	R8	30.798	2.54	90
YAGEO/RC0402JR-071K6L	R14	35.782	-32.925	90
TDK/MLF2012DR56K	L10	28.575	-1.905	180
TDK/MLF2012DR56K	L9	28.575	-4.128	180
MURATA/GRM1555C1H221JA01D	C40	31.115	-4.763	90
MURATA/GRM1555C1H221JA01D	C41	31.115	-0.318	90
MURATA/GRM1555C1H220JA01D	C42	33.337	-0.953	0
MURATA/GRM1555C1H220JA01D	C43	33.337	-4.128	0
MURATA/GRM1555C1H560JA01D	C44	35.56	-4.763	270
MURATA/GRM1555C1H560JA01D	C45	35.56	-0.318	270
YAGEO/RC0402JR-071R5L	R9	37.148	-4.128	180
YAGEO/RC0402JR-071R5L	R10	37.148	-0.953	180
TC/1909763-1	P2	40.483	-2.223	0
YAGEO/RC0402JR-0710KL	R11	12.7	-0.635	270
TDK/MMZ1608B121C	FB1	30.48	5.397	180
TDK/MMZ1608B121C	FB2	30.48	-8.731	90
TI/SN74LV4T125PWR	U2	25.082	-17.304	270
TI/SN74LV4T125PWR	U5	38.418	-10.478	90
TI/SN74LV4T125PWR	U4	38.259	-21.431	90
STACKPOLE/RMCF0402FT100K	R24	28.841	25.889	270
STACKPOLE/RMCF0402FT100K	R12	18.034	-7.366	180
STACKPOLE/RMCF0402FT100K	R3	13.079	17.734	270
KS/RK73H1ETTP10R0F	R13	28.48	-33.496	270
NXP/BC807-40,215	Q4	31.21	-32.766	90
STMICRO/M24256-BRDW6TP	U6	41.91	11.113	0
DIODES/ZLDO1117G33TA	U7	5.715	-27.305	180
MURATA/GRM188R61A106KE69D	C46	11.113	-27.305	90
MURATA/GRM188R61A106KE69D	C47	6.985	-21.59	0
YAGEO2/RC0402FR-0722RL	R20	43.18	16.192	0
YAGEO2/RC0402FR-0722RL	R19	43.18	19.685	0
YAGEO/RC0402FR-074K7L	R21	39.529	16.193	0
YAGEO/RC0402FR-074K7L	R22	43.18	18.415	0
ATMEL/ATWINC1500-MR210PA	U3	18.704	28	180
LITEON/LTST-C170KGKT	LED3	35	35	270
LITEON/LTST-C170KGKT	LED1	35	31	270
LITEON/LTST-C170KGKT	LED2	35	33	270
SAMSUNG/RC1005F241CS	R6	31	35	0
SAMSUNG/RC1005F241CS	R4	31	31	0
SAMSUNG/RC1005F241CS	R5	31	33	0
TI/SN74LV1T125DCKR	U8	43.497	-15.081	180
